111,42,1
123,116,1
141,61,1
145,170,1
196,122,1
4,77,1
133,39,10
144,132,10
63,116,10
67,91,10
90,114,10
119,162,100
147,9,100
157,148,100
27,181,100
40,140,100
40,193,100
55,13,100
75,30,100
1,51,101
120,21,101
189,178,101
93,28,101
101,124,102
108,129,102
13,77,102
131,189,102
137,54,102
56,129,102
63,65,102
11,111,103
16,2,103
170,59,103
196,172,103
35,146,103
129,43,104
42,8,104
88,124,104
14,7,105
159,3,105
23,46,105
55,87,105
139,29,106
50,26,106
117,26,107
123,146,107
129,147,107
164,90,107
187,106,107
26,117,107
4,159,107
63,103,107
63,178,107
0,160,108
134,42,108
148,3,108
150,85,108
157,198,108
171,70,108
80,102,108
83,122,108
0,135,109
113,178,109
121,169,109
121,83,109
138,21,109
92,189,109
114,26,11
25,172,11
100,30,110
179,192,110
13,19,111
147,147,111
151,116,111
173,134,111
42,158,111
100,65,112
125,109,112
138,28,112
150,198,112
163,1,112
180,125,112
190,181,112
27,51,112
29,195,112
54,179,112
7,52,112
107,168,113
117,98,113
163,133,113
192,57,113
197,56,113
85,163,113
120,152,114
154,101,114
37,27,114
9,75,114
91,65,114
141,43,115
159,133,115
160,112,115
61,183,115
93,83,115
119,51,116
2,145,116
53,103,116
7,154,116
110,18,117
167,138,117
168,143,117
174,18,117
200,14,117
48,50,117
106,99,118
147,45,118
185,35,118
200,90,118
27,116,118
60,91,118
132,184,119
154,136,119
156,188,119
186,73,119
31,129,119
44,109,119
122,107,12
154,22,12
155,15,12
186,129,12
189,49,12
193,19,12
28,191,12
66,127,12
92,24,12
92,46,12
0,47,120
138,108,120
159,125,120
109,59,121
197,139,121
26,182,121
58,146,121
177,54,122
116,64,123
112,38,124
126,88,124
127,77,124
164,118,124
167,67,124
197,5,124
51,200,124
85,35,124
147,15,125
16,189,125
160,78,125
189,174,125
25,116,125
32,191,125
58,33,125
75,105,125
157,142,126
38,103,126
11,79,127
135,84,127
167,163,127
195,149,127
29,95,127
66,144,127
79,120,127
95,156,127
12,80,128
166,192,128
59,21,128
82,12,128
0,97,129
156,139,129
166,66,129
181,128,129
198,200,129
51,179,129
110,47,13
128,140,13
129,185,13
180,175,13
61,128,13
75,45,13
124,50,130
125,142,130
15,120,130
163,11,130
67,129,130
103,143,131
159,109,131
24,187,131
36,48,131
66,115,131
10,61,132
137,35,132
157,29,132
174,80,132
199,53,132
29,2,132
119,98,133
136,12,133
15,117,133
176,164,133
199,190,133
35,84,133
43,8,133
53,92,133
73,151,133
73,38,133
79,160,133
95,113,133
114,91,134
155,58,134
157,45,134
188,37,134
152,102,135
160,145,135
199,162,135
52,133,135
52,95,135
102,132,136
108,148,137
118,17,137
192,166,137
61,159,137
106,71,138
146,47,138
153,70,138
93,17,138
132,129,139
177,101,139
2,19,139
31,118,139
64,113,139
115,182,14
126,7,14
161,147,14
80,44,14
108,9,140
119,198,140
152,100,140
29,112,140
99,18,140
101,135,141
145,62,141
172,194,141
180,165,141
197,183,141
58,122,141
67,130,141
102,16,142
113,185,142
138,109,142
17,79,142
18,3,142
197,126,142
68,195,142
82,62,142
83,63,142
116,167,143
12,93,143
134,170,143
26,76,143
7,129,143
73,106,143
13,156,144
145,105,144
40,139,144
48,15,144
87,79,144
108,58,145
14,77,145
15,155,145
18,180,145
191,143,145
57,130,145
167,89,146
46,52,146
107,171,147
166,83,147
168,161,147
133,104,148
59,8,148
63,49,148
89,199,148
113,121,149
116,170,149
146,109,149
146,79,149
193,8,15
5,119,15
8,174,15
107,31,150
131,119,150
132,120,150
137,68,150
192,69,150
156,61,151
173,190,151
46,40,151
102,22,152
104,141,152
114,77,152
133,142,152
33,115,152
56,196,152
6,194,152
76,143,152
190,162,153
87,112,153
96,79,153
97,122,153
105,106,154
118,130,154
143,3,154
15,42,154
43,23,154
97,32,154
102,48,155
114,62,155
199,18,155
79,161,155
1,200,156
103,164,156
12,160,156
15,20,156
155,105,156
167,125,156
140,169,157
173,194,157
178,17,157
